service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
ATS 22_23-30824,1,1,1,1,1,0,0,20220804,20220804
ATS 22_23-31112,1,1,1,1,1,0,0,20220808,20220811
ATS 22_23-31000,1,1,1,1,1,0,0,20220815,20220816
ATS 22_23-30929,1,1,1,1,1,0,0,20220817,20220817
ATS 22_23-31105,0,0,0,0,0,1,1,20220820,20220821
ATS 22_23-31105-0000010,0,0,0,0,0,1,0,20220820,20220821
ATS 22_23-31164,1,1,1,1,1,0,0,20220822,20220822
ATS 22_23-31168,0,0,1,0,0,0,0,20220823,20220823
ATS 22_23-30826,1,1,1,1,1,0,0,20220824,20220824
ATS 22_23-31170,1,1,1,1,1,0,0,20220825,20220825
ATS 22_23-31138,0,0,0,0,0,1,0,20220827,20220827
ATS 22_23-31139,0,0,0,0,0,0,1,20220828,20220828
ATS 22_23-31172,1,1,1,1,1,0,0,20220830,20220831
BBL 22_23-30064,1,1,1,1,1,0,0,20220804,20220930
BCC 22_23-30746,1,1,1,1,1,0,0,20220804,20221003
BCC 22_23-30357,0,0,0,0,0,1,0,20220806,20221001
BCC 22_23-30355,0,0,0,0,0,0,1,20220807,20221002
BITS 22_23-30132,1,1,1,1,1,0,0,20220804,20220930
BITS 22_23-30132-0000100,0,0,0,0,1,0,0,20220804,20220930
BITS 22_23-30135,0,0,0,0,0,1,0,20220806,20221001
BITS 22_23-30131,0,0,0,0,0,0,1,20220807,20221003
CDC 22_23-30945,1,1,1,1,1,0,0,20220804,20220916
BT 22_23-30596,1,1,1,1,1,0,0,20220804,20220812
BT 22_23-30596-0000100,0,0,0,0,1,0,0,20220804,20220812
BT 22_23-30596-1000000,1,0,0,0,0,0,0,20220804,20220812
BT 22_23-30596-0111100,0,1,1,1,1,0,0,20220804,20220812
BT 22_23-30604,0,0,0,0,0,1,0,20220806,20220813
BT 22_23-30605,0,0,0,0,0,0,1,20220807,20220814
BT 22_23-30606,0,0,0,0,0,0,1,20220810,20220810
BT 22_23-30934,1,1,1,1,1,0,0,20220815,20220819
BT 22_23-30934-0000100,0,0,0,0,1,0,0,20220815,20220819
BT 22_23-30934-1000000,1,0,0,0,0,0,0,20220815,20220819
BT 22_23-30934-0111100,0,1,1,1,1,0,0,20220815,20220819
BT 22_23-30936,0,0,0,0,0,1,0,20220820,20221001
BT 22_23-30940,0,0,0,0,0,0,1,20220821,20221002
BT 22_23-30931,1,1,1,1,1,0,0,20220822,20220916
BT 22_23-30931-0000100,0,0,0,0,1,0,0,20220822,20220916
BT 22_23-30931-1000000,1,0,0,0,0,0,0,20220822,20220916
BT 22_23-30931-0111100,0,1,1,1,1,0,0,20220822,20220916
BT 22_23-30932,1,1,1,1,1,0,0,20220919,20220923
BT 22_23-30932-0000100,0,0,0,0,1,0,0,20220919,20220923
BT 22_23-30942,1,1,1,1,1,0,0,20220926,20220930
BT 22_23-30942-0000100,0,0,0,0,1,0,0,20220926,20220930
BT 22_23-30941,0,0,0,0,0,0,1,20221003,20221003
CBL 22_23-30467,1,1,1,1,1,0,0,20220804,20220916
CBL 22_23-30467-0001000,0,0,0,1,0,0,0,20220804,20220916
CBL 22_23-30469,0,0,0,0,0,1,0,20220806,20221001
CBL 22_23-30470,0,0,0,0,0,0,1,20220807,20221003
CBL 22_23-31034,1,0,0,0,0,0,0,20220808,20220808
CBL 22_23-31029,0,1,0,0,0,0,0,20220809,20220809
CBL 22_23-31030,0,0,1,0,0,0,0,20220810,20220810
CBL 22_23-31031,0,0,0,1,0,0,0,20220811,20220811
CBL 22_23-31032,0,0,0,0,1,0,0,20220812,20220812
CBL 22_23-30468,1,1,1,1,1,0,0,20220902,20220930
CBL 22_23-30468-0001000,0,0,0,1,0,0,0,20220902,20220930
EVENT19_20-31039,1,1,1,1,1,0,0,20220806,20220814
GCLR 22_23-30437,1,1,1,1,0,0,0,20220804,20221003
GCLR 22_23-30436,0,0,0,0,1,0,0,20220805,20220930
GCLR 22_23-30438,0,0,0,0,0,1,0,20220806,20221001
GCLR 22_23-30439,0,0,0,0,0,0,1,20220807,20221002
GUNM-30346,1,1,1,1,1,0,0,20220804,20220930
GUNM-30345,1,1,1,1,1,0,0,20220815,20220819
HBL 22_23-30717,1,1,1,1,1,0,0,20220804,20220916
HBL 22_23-30717-0000100,0,0,0,0,1,0,0,20220804,20220916
HBL 22_23-30715,0,0,0,0,0,1,0,20220806,20221001
HBL 22_23-30718,0,0,0,0,0,0,1,20220807,20221002
HBL 22_23-31110,1,0,0,0,0,0,0,20220808,20220808
HBL 22_23-31108,0,1,0,0,0,0,0,20220809,20220809
HBL 22_23-31109,0,0,1,0,0,0,0,20220810,20220810
HBL 22_23-31107,0,0,0,1,0,0,0,20220811,20220811
HBL 22_23-31106,0,0,0,0,1,0,0,20220812,20220812
HBL 22_23-30714,1,1,1,1,1,0,0,20220902,20220930
HBL 22_23-30714-0000100,0,0,0,0,1,0,0,20220902,20220930
HBL 22_23-30716,0,0,0,0,0,0,1,20221003,20221003
KBL 22_23-30903,1,1,1,1,1,0,0,20220804,20220916
KBL 22_23-30906,0,0,0,0,0,1,0,20220806,20221001
KBL 22_23-30907,0,0,0,0,0,0,1,20220807,20221003
KBL 22_23-30908,1,1,1,1,1,1,1,20220808,20220808
KBL 22_23-30902,1,1,1,1,1,0,0,20220902,20220930
LBS 22_23-30138,1,1,1,1,1,0,0,20220804,20220930
LBS 22_23-30137,0,0,0,0,0,1,0,20220806,20221001
LBS 22_23-30139,0,0,0,0,0,0,1,20220807,20221003
LCBS 22_23-30695,1,1,1,1,1,0,0,20220804,20220805
LCBS 22_23-30695-0001000,0,0,0,1,0,0,0,20220804,20220805
LCBS 22_23-30695-0000100,0,0,0,0,1,0,0,20220804,20220805
LCBS 22_23-30689,0,0,0,0,0,1,0,20220806,20220813
LCBS 22_23-30691,0,0,0,0,0,0,1,20220807,20220814
LCBS 22_23-31051,0,0,0,0,0,1,0,20220808,20220808
LCBS 22_23-31045,0,1,0,0,0,0,0,20220809,20220809
LCBS 22_23-31050,0,0,1,0,0,0,0,20220810,20220810
LCBS 22_23-31047,0,0,0,1,0,0,0,20220811,20220811
LCBS 22_23-31049,0,0,0,0,1,0,0,20220812,20220812
LCBS 22_23-31113,1,1,1,1,1,0,0,20220815,20220916
LCBS 22_23-31113-0001000,0,0,0,1,0,0,0,20220815,20220916
LCBS 22_23-31113-0000100,0,0,0,0,1,0,0,20220815,20220916
LCBS 22_23-31115,0,0,0,0,0,1,0,20220820,20221001
LCBS 22_23-31117,0,0,0,0,0,0,1,20220821,20221002
LCBS 22_23-31116,1,1,1,1,1,0,0,20220902,20220930
LCBS 22_23-31116-0001000,0,0,0,1,0,0,0,20220902,20220930
LCBS 22_23-31116-0000100,0,0,0,0,1,0,0,20220902,20220930
LCBS 22_23-31119,0,0,0,0,0,0,1,20221003,20221003
LOGC 22_23-30141,1,1,1,1,1,0,0,20220804,20220930
LOGC 22_23-30142,0,0,0,0,0,1,0,20220806,20221001
MGB 22_23-30462,1,1,1,1,1,0,0,20220804,20220916
MGB 22_23-30464,0,0,0,0,0,1,0,20220806,20221001
MGB 22_23-30465,0,0,0,0,0,0,1,20220807,20221002
MGB 22_23-30463,1,1,1,1,1,0,0,20220902,20220930
PRT 22_23-31040,1,1,1,1,1,0,0,20220804,20220916
PRT 22_23-30629,0,0,0,0,0,1,0,20220806,20221001
PRT 22_23-30630,0,0,0,0,0,0,1,20220807,20221003
PRT 22_23-31120,1,0,0,0,0,0,0,20220808,20220808
PRT 22_23-31121,0,1,0,0,0,0,0,20220809,20220809
PRT 22_23-31122,0,0,1,0,0,0,0,20220810,20220810
PRT 22_23-31123,0,0,0,1,0,0,0,20220811,20220811
PRT 22_23-31126,0,0,0,0,1,0,0,20220812,20220812
PRT 22_23-30631,1,1,1,1,1,0,0,20220902,20220930
QR 22_23-30965,1,1,1,1,0,0,0,20220804,20220804
QR 22_23-30494,0,0,0,0,1,0,0,20220805,20220930
QR 22_23-30496,0,0,0,0,0,1,0,20220806,20221001
QR 22_23-31175,0,0,0,0,0,0,1,20220807,20220807
QR 22_23-31156,1,1,1,1,0,0,0,20220808,20220808
QR 22_23-31156-1000000,1,0,0,0,0,0,0,20220808,20220808
QR 22_23-31157,1,1,1,1,0,0,0,20220809,20220809
QR 22_23-31157-0100000,0,1,0,0,0,0,0,20220809,20220809
QR 22_23-31173,0,0,0,0,0,1,0,20220810,20220810
QR 22_23-31158,1,1,1,1,0,0,0,20220811,20220811
QR 22_23-31158-0001000,0,0,0,1,0,0,0,20220811,20220811
QR 22_23-30498,0,0,0,0,0,0,1,20220814,20221002
QR 22_23-30969,1,1,1,1,0,0,0,20220815,20220816
QR 22_23-30971,1,1,1,1,0,0,0,20220817,20220817
QR 22_23-30492,1,1,1,1,0,0,0,20220818,20221003
QR 22_23-31004,0,0,0,0,0,1,0,20220820,20220820
QR 22_23-31052,0,0,0,0,0,0,1,20220821,20220821
QR 22_23-30991,1,1,1,1,0,0,0,20220822,20220822
QR 22_23-30993,1,1,1,1,0,0,0,20220823,20220823
QR 22_23-30995,1,1,1,1,0,0,0,20220824,20220824
QR 22_23-30997,1,1,1,1,0,0,0,20220825,20220825
QR 22_23-30999,1,1,1,1,0,0,0,20220830,20220831
SBL 22_23-31036,1,1,1,1,1,0,0,20220804,20220916
SBL 22_23-31036-1111000,1,1,1,1,0,0,0,20220804,20220916
SBL 22_23-31036-0000100,0,0,0,0,1,0,0,20220804,20220916
SBL 22_23-31043,0,0,0,0,0,1,0,20220806,20221001
SBL 22_23-31042,0,0,0,0,0,0,1,20220807,20221003
SBL 22_23-31130,1,1,1,1,1,0,0,20220826,20220826
SBL 22_23-31130-0000100,0,0,0,0,1,0,0,20220826,20220826
SBL 22_23-31005,1,1,1,1,1,0,0,20220902,20220930
SBL 22_23-31005-0000100,0,0,0,0,1,0,0,20220902,20220930
SBL 22_23-31005-1111000,1,1,1,1,0,0,0,20220902,20220930
SUN 22_23-30730,1,1,1,1,1,0,0,20220804,20220916
SUN 22_23-30730-0010000,0,0,1,0,0,0,0,20220804,20220916
SUN 22_23-30730-0001000,0,0,0,1,0,0,0,20220804,20220916
SUN 22_23-30730-0000100,0,0,0,0,1,0,0,20220804,20220916
SUN 22_23-30732,0,0,0,0,0,1,0,20220806,20221001
SUN 22_23-30738,0,0,0,0,0,0,1,20220807,20221002
SUN 22_23-30736,1,1,1,1,1,0,0,20220902,20220930
SUN 22_23-30736-0010000,0,0,1,0,0,0,0,20220902,20220930
SUN 22_23-30736-0001000,0,0,0,1,0,0,0,20220902,20220930
SUN 22_23-30736-0000100,0,0,0,0,1,0,0,20220902,20220930
SUN 22_23-30728,0,0,0,0,0,0,1,20221003,20221003
TBS 22_23-30890,1,1,1,1,1,0,0,20220804,20220916
TBS 22_23-30874,0,0,0,0,0,1,0,20220806,20221001
TBS 22_23-30875,0,0,0,0,0,0,1,20220807,20221003
TBS 22_23-31166,1,1,1,1,1,1,1,20220808,20220808
TBS 22_23-31166-1111111,1,1,1,1,1,1,1,20220808,20220808
TBS 22_23-30885,0,0,1,0,0,0,0,20220810,20220810
TBS 22_23-30883,1,1,1,1,1,0,0,20220902,20220930
TDEV 22_23-30899,1,1,1,1,1,0,0,20220804,20220805
TDEV 22_23-30710,0,0,0,0,0,1,0,20220806,20220813
TDEV 22_23-30712,0,0,0,0,0,0,1,20220807,20220814
TDEV 22_23-31081,1,1,1,1,1,1,1,20220808,20220808
TDEV 22_23-31081-1111111,1,1,1,1,1,1,1,20220808,20220808
TDEV 22_23-31078,0,1,0,0,0,0,0,20220809,20220809
TDEV 22_23-31080,0,0,1,0,0,0,0,20220810,20220810
TDEV 22_23-31079,0,0,0,1,0,0,0,20220811,20220811
TDEV 22_23-31077,0,0,0,0,1,0,0,20220812,20220812
TDEV 22_23-31020,1,1,1,1,1,0,0,20220815,20220916
TDEV 22_23-31018,0,0,0,0,0,1,0,20220820,20221001
TDEV 22_23-31017,0,0,0,0,0,0,1,20220821,20221002
TDEV 22_23-31016,1,1,1,1,1,0,0,20220902,20220930
TDEV 22_23-31015,1,1,1,1,1,1,1,20221003,20221003
WBS 22_23-30900,1,1,1,1,1,0,0,20220804,20220916
WBS 22_23-30643,0,0,0,0,0,1,0,20220806,20221001
WBS 22_23-30644,0,0,0,0,0,0,1,20220807,20221002
WBS 22_23-31055,1,0,0,0,0,0,0,20220808,20220808
WBS 22_23-31056,0,1,0,0,0,0,0,20220809,20220809
WBS 22_23-31057,0,0,1,0,0,0,0,20220810,20220810
WBS 22_23-31058,0,0,0,1,0,0,0,20220811,20220811
WBS 22_23-31059,0,0,0,0,1,0,0,20220812,20220812
WBS 22_23-30642,1,1,1,1,1,0,0,20220919,20221003
