service_id,date,exception_type
ATS 22_23-31168,20220823,1
BBL 22_23-30064,20220810,2
BCC 22_23-30746,20220810,2
BCC 22_23-30355,20220810,1
BITS 22_23-30131,20221003,1
CDC 22_23-30945,20220902,2
BT 22_23-30596,20220810,2
BT 22_23-30596-0000100,20220810,2
BT 22_23-30596-1000000,20220810,2
BT 22_23-30596-0111100,20220810,2
BT 22_23-30606,20220810,1
BT 22_23-30941,20221003,1
CBL 22_23-30467,20220808,2
CBL 22_23-30467-0001000,20220808,2
CBL 22_23-30467,20220809,2
CBL 22_23-30467-0001000,20220809,2
CBL 22_23-30467,20220810,2
CBL 22_23-30467-0001000,20220810,2
CBL 22_23-30467,20220811,2
CBL 22_23-30467-0001000,20220811,2
CBL 22_23-30467,20220812,2
CBL 22_23-30467-0001000,20220812,2
CBL 22_23-30467,20220902,2
CBL 22_23-30467-0001000,20220902,2
CBL 22_23-30470,20221003,1
CBL 22_23-30468,20220905,2
CBL 22_23-30468-0001000,20220905,2
CBL 22_23-30468,20220906,2
CBL 22_23-30468-0001000,20220906,2
CBL 22_23-30468,20220907,2
CBL 22_23-30468-0001000,20220907,2
CBL 22_23-30468,20220908,2
CBL 22_23-30468-0001000,20220908,2
CBL 22_23-30468,20220909,2
CBL 22_23-30468-0001000,20220909,2
CBL 22_23-30468,20220912,2
CBL 22_23-30468-0001000,20220912,2
CBL 22_23-30468,20220913,2
CBL 22_23-30468-0001000,20220913,2
CBL 22_23-30468,20220914,2
CBL 22_23-30468-0001000,20220914,2
CBL 22_23-30468,20220915,2
CBL 22_23-30468-0001000,20220915,2
CBL 22_23-30468,20220916,2
CBL 22_23-30468-0001000,20220916,2
EVENT19_20-31039,20220806,1
EVENT19_20-31039,20220807,1
EVENT19_20-31039,20220813,1
EVENT19_20-31039,20220814,1
GUNM-30346,20220810,2
GUNM-30346,20220815,2
GUNM-30346,20220816,2
GUNM-30346,20220817,2
GUNM-30346,20220818,2
GUNM-30346,20220819,2
HBL 22_23-30717,20220808,2
HBL 22_23-30717-0000100,20220808,2
HBL 22_23-30717,20220809,2
HBL 22_23-30717-0000100,20220809,2
HBL 22_23-30717,20220810,2
HBL 22_23-30717-0000100,20220810,2
HBL 22_23-30717,20220811,2
HBL 22_23-30717-0000100,20220811,2
HBL 22_23-30717,20220812,2
